customer_id,arrival,service start,service end,server_id
C1,12:00:00 PM,12:00:00 PM,12:03:00 PM,1
C2,12:12:00 PM,12:12:00 PM,12:16:00 PM,1
C3,12:13:00 PM,12:16:00 PM,12:20:00 PM,1
C4,12:14:00 PM,12:20:00 PM,12:24:00 PM,1
C5,12:27:00 PM,12:27:00 PM,12:31:00 PM,1
C6,12:31:00 PM,12:31:00 PM,12:34:00 PM,1
C7,12:31:00 PM,12:34:00 PM,12:37:00 PM,1
C8,12:34:00 PM,12:37:00 PM,12:41:00 PM,1
C9,12:39:00 PM,12:41:00 PM,12:46:00 PM,1
C10,12:40:00 PM,12:46:00 PM,12:50:00 PM,1
C11,12:40:00 PM,12:50:00 PM,12:53:00 PM,1
C12,12:46:00 PM,12:53:00 PM,12:57:00 PM,1
C13,12:48:00 PM,12:57:00 PM,01:02:00 PM,1
C14,12:49:00 PM,01:02:00 PM,01:06:00 PM,1
C15,12:49:00 PM,01:06:00 PM,01:09:00 PM,1
C16,12:55:00 PM,01:09:00 PM,01:13:00 PM,1
C17,12:58:00 PM,01:13:00 PM,01:17:00 PM,1
C18,12:58:00 PM,01:17:00 PM,01:19:00 PM,1
C19,01:00:00 PM,01:19:00 PM,01:22:00 PM,1
C20,01:02:00 PM,01:22:00 PM,01:23:00 PM,1
C21,01:04:00 PM,01:23:00 PM,01:26:00 PM,1
C22,01:04:00 PM,01:26:00 PM,01:28:00 PM,1
C23,01:05:00 PM,01:28:00 PM,01:30:00 PM,1
C24,01:10:00 PM,01:30:00 PM,01:35:00 PM,1
C25,01:12:00 PM,01:35:00 PM,01:36:00 PM,1
C26,01:15:00 PM,01:36:00 PM,01:38:00 PM,1
C27,01:15:00 PM,01:38:00 PM,01:42:00 PM,1
C28,01:16:00 PM,01:42:00 PM,01:44:00 PM,1
C29,01:20:00 PM,01:44:00 PM,01:45:00 PM,1
C30,01:23:00 PM,01:45:00 PM,01:47:00 PM,1
C31,01:24:00 PM,01:47:00 PM,01:50:00 PM,1
C32,01:26:00 PM,01:50:00 PM,01:51:00 PM,1
C33,01:29:00 PM,01:51:00 PM,01:53:00 PM,1
C34,01:30:00 PM,01:53:00 PM,01:55:00 PM,1
C35,01:40:00 PM,01:55:00 PM,01:57:00 PM,1
C36,01:43:00 PM,01:57:00 PM,01:58:00 PM,1
C37,01:46:00 PM,01:58:00 PM,01:59:00 PM,1
C38,01:47:00 PM,01:59:00 PM,02:00:00 PM,1
C39,01:50:00 PM,02:00:00 PM,02:02:00 PM,1
C40,01:55:00 PM,02:02:00 PM,02:03:00 PM,1
C41,02:00:00 PM,02:03:00 PM,02:05:00 PM,1
C42,02:03:00 PM,02:05:00 PM,02:07:00 PM,1
C43,02:04:00 PM,02:07:00 PM,02:09:00 PM,1
C44,02:05:00 PM,02:09:00 PM,02:12:00 PM,1
C45,02:06:00 PM,02:12:00 PM,02:14:00 PM,1
C46,02:09:00 PM,02:14:00 PM,02:19:00 PM,1
C47,02:11:00 PM,02:19:00 PM,02:21:00 PM,1
C48,02:14:00 PM,02:21:00 PM,02:22:00 PM,1
C49,02:15:00 PM,02:22:00 PM,02:25:00 PM,1
C50,02:18:00 PM,02:25:00 PM,02:26:00 PM,1
C51,02:20:00 PM,02:26:00 PM,02:30:00 PM,1
C52,02:24:00 PM,02:30:00 PM,02:38:00 PM,1
C53,02:29:00 PM,02:38:00 PM,02:40:00 PM,1
C54,02:30:00 PM,02:40:00 PM,02:42:00 PM,1
C55,02:32:00 PM,02:42:00 PM,02:45:00 PM,1
C56,02:35:00 PM,02:45:00 PM,02:46:00 PM,1
C57,02:37:00 PM,02:46:00 PM,02:48:00 PM,1
C58,02:40:00 PM,02:48:00 PM,02:50:00 PM,1
C59,02:40:00 PM,02:50:00 PM,02:53:00 PM,1
C60,02:43:00 PM,02:53:00 PM,02:54:00 PM,1
C61,02:43:00 PM,02:54:00 PM,02:56:00 PM,1
C62,02:45:00 PM,02:56:00 PM,02:57:00 PM,1
C63,02:47:00 PM,02:57:00 PM,03:00:00 PM,1
C64,02:50:00 PM,03:00:00 PM,03:01:00 PM,1
C65,02:52:00 PM,03:01:00 PM,03:03:00 PM,1
C66,02:58:00 PM,03:03:00 PM,03:05:00 PM,1
C67,02:59:00 PM,03:05:00 PM,03:08:00 PM,1
C68,03:02:00 PM,03:08:00 PM,03:15:00 PM,1
C69,03:05:00 PM,03:15:00 PM,03:16:00 PM,1
C70,03:08:00 PM,03:16:00 PM,03:18:00 PM,1
C71,03:10:00 PM,03:18:00 PM,03:21:00 PM,1
C72,03:12:00 PM,03:21:00 PM,03:23:00 PM,1
C73,03:13:00 PM,03:23:00 PM,03:25:00 PM,1
C74,03:16:00 PM,03:25:00 PM,03:27:00 PM,1
C75,03:19:00 PM,03:27:00 PM,03:29:00 PM,1
C76,03:20:00 PM,03:29:00 PM,03:30:00 PM,1
C77,03:22:00 PM,03:30:00 PM,03:32:00 PM,1
C78,03:25:00 PM,03:32:00 PM,03:35:00 PM,1
C79,03:27:00 PM,03:35:00 PM,03:36:00 PM,1
C80,03:30:00 PM,03:36:00 PM,03:38:00 PM,1
C81,03:30:00 PM,03:38:00 PM,03:40:00 PM,1
C82,03:34:00 PM,03:40:00 PM,03:45:00 PM,1
C83,03:36:00 PM,03:45:00 PM,03:47:00 PM,1
C84,03:37:00 PM,03:47:00 PM,03:50:00 PM,1
C85,03:40:00 PM,03:50:00 PM,03:51:00 PM,1
C86,03:44:00 PM,03:51:00 PM,03:52:00 PM,1
C87,03:47:00 PM,03:52:00 PM,03:55:00 PM,1
C88,03:48:00 PM,03:55:00 PM,03:57:00 PM,1
C89,03:52:00 PM,03:57:00 PM,03:59:00 PM,1
C90,03:55:00 PM,03:59:00 PM,04:00:00 PM,1
C91,03:55:00 PM,04:00:00 PM,04:01:00 PM,1
C92,03:57:00 PM,04:01:00 PM,04:03:00 PM,1
C93,03:59:00 PM,04:03:00 PM,04:05:00 PM,1
C94,04:03:00 PM,04:05:00 PM,04:07:00 PM,1
C95,04:05:00 PM,04:07:00 PM,04:09:00 PM,1
C96,04:09:00 PM,04:09:00 PM,04:11:00 PM,1
C97,04:10:00 PM,04:11:00 PM,04:15:00 PM,1
C98,04:11:00 PM,04:15:00 PM,04:16:00 PM,1
C99,04:11:00 PM,04:16:00 PM,04:18:00 PM,1
C100,04:15:00 PM,04:18:00 PM,04:20:00 PM,1
C101,04:18:00 PM,04:20:00 PM,04:23:00 PM,1
C102,04:20:00 PM,04:23:00 PM,04:25:00 PM,1
C103,04:22:00 PM,04:25:00 PM,04:26:00 PM,1
C104,04:22:00 PM,04:26:00 PM,04:27:00 PM,1
C105,04:25:00 PM,04:27:00 PM,04:29:00 PM,1
C106,04:27:00 PM,04:29:00 PM,04:31:00 PM,1
C107,04:28:00 PM,04:31:00 PM,04:34:00 PM,1
C108,04:31:00 PM,04:34:00 PM,04:35:00 PM,1
C109,04:33:00 PM,04:35:00 PM,04:37:00 PM,1
C110,04:34:00 PM,04:37:00 PM,04:40:00 PM,1
C111,04:37:00 PM,04:40:00 PM,04:43:00 PM,1
C112,04:42:00 PM,04:43:00 PM,04:47:00 PM,1
C113,04:45:00 PM,04:47:00 PM,04:50:00 PM,1
C114,04:48:00 PM,04:50:00 PM,04:51:00 PM,1
C115,04:50:00 PM,04:51:00 PM,04:53:00 PM,1
C116,04:50:00 PM,04:53:00 PM,04:55:00 PM,1
C117,04:53:00 PM,04:55:00 PM,04:58:00 PM,1
C118,04:56:00 PM,04:58:00 PM,04:59:00 PM,1
C119,04:58:00 PM,04:59:00 PM,05:02:00 PM,1
C120,04:58:00 PM,05:02:00 PM,05:08:00 PM,1
C121,05:00:00 PM,05:08:00 PM,05:09:00 PM,1
C122,05:03:00 PM,05:09:00 PM,05:10:00 PM,1
C123,05:03:00 PM,05:10:00 PM,05:12:00 PM,1
C124,05:05:00 PM,05:12:00 PM,05:14:00 PM,1
C125,05:08:00 PM,05:14:00 PM,05:16:00 PM,1
C126,05:09:00 PM,05:16:00 PM,05:18:00 PM,1
C127,05:12:00 PM,05:18:00 PM,05:20:00 PM,1
C128,05:14:00 PM,05:20:00 PM,05:24:00 PM,1
C129,05:18:00 PM,05:24:00 PM,05:25:00 PM,1
C130,05:20:00 PM,05:25:00 PM,05:26:00 PM,1
C131,05:23:00 PM,05:26:00 PM,05:28:00 PM,1
C132,05:27:00 PM,05:28:00 PM,05:30:00 PM,1
C133,05:29:00 PM,05:30:00 PM,05:35:00 PM,1
C134,05:32:00 PM,05:35:00 PM,05:38:00 PM,1
C135,05:35:00 PM,05:38:00 PM,05:42:00 PM,1
C136,05:37:00 PM,05:42:00 PM,05:45:00 PM,1
C137,05:40:00 PM,05:45:00 PM,05:46:00 PM,1
C138,05:43:00 PM,05:46:00 PM,05:48:00 PM,1
C139,05:45:00 PM,05:48:00 PM,05:51:00 PM,1
C140,05:47:00 PM,05:51:00 PM,05:53:00 PM,1
C141,05:49:00 PM,05:53:00 PM,05:55:00 PM,1
C142,05:53:00 PM,05:55:00 PM,05:58:00 PM,1
C143,05:56:00 PM,05:58:00 PM,06:02:00 PM,1
C144,05:59:00 PM,06:02:00 PM,06:05:00 PM,1
C145,06:03:00 PM,06:05:00 PM,06:06:00 PM,1
C146,06:05:00 PM,06:06:00 PM,06:08:00 PM,1
C147,06:08:00 PM,06:08:00 PM,06:12:00 PM,1
C148,06:10:00 PM,06:12:00 PM,06:14:00 PM,1
C149,06:13:00 PM,06:14:00 PM,06:16:00 PM,1
C150,06:15:00 PM,06:16:00 PM,06:20:00 PM,1
C151,06:16:00 PM,06:20:00 PM,06:23:00 PM,1
C152,06:17:00 PM,06:23:00 PM,06:25:00 PM,1
C153,06:19:00 PM,06:25:00 PM,06:27:00 PM,1
C154,06:22:00 PM,06:27:00 PM,06:29:00 PM,1
C155,06:24:00 PM,06:29:00 PM,06:32:00 PM,1
C156,06:25:00 PM,06:32:00 PM,06:34:00 PM,1
C157,06:29:00 PM,06:34:00 PM,06:35:00 PM,1
C158,06:31:00 PM,06:35:00 PM,06:37:00 PM,1
C159,06:34:00 PM,06:37:00 PM,06:39:00 PM,1
C160,06:36:00 PM,06:39:00 PM,06:41:00 PM,1
C161,06:39:00 PM,06:41:00 PM,06:42:00 PM,1
C162,06:41:00 PM,06:42:00 PM,06:46:00 PM,1
C163,06:44:00 PM,06:46:00 PM,06:48:00 PM,1
C164,06:46:00 PM,06:48:00 PM,06:52:00 PM,1
C165,06:50:00 PM,06:52:00 PM,06:54:00 PM,1
C166,06:52:00 PM,06:54:00 PM,06:59:00 PM,1
C167,06:53:00 PM,06:59:00 PM,07:02:00 PM,1
C168,06:55:00 PM,07:02:00 PM,07:06:00 PM,1
C169,07:06:00 PM,07:06:00 PM,07:10:00 PM,1
C170,07:09:00 PM,07:10:00 PM,07:13:00 PM,1
C171,07:11:00 PM,07:13:00 PM,07:17:00 PM,1
C172,07:14:00 PM,07:17:00 PM,07:19:00 PM,1
C173,07:17:00 PM,07:19:00 PM,07:25:00 PM,1
C174,07:20:00 PM,07:25:00 PM,07:27:00 PM,1
C175,07:22:00 PM,07:27:00 PM,07:29:00 PM,1
C176,07:25:00 PM,07:29:00 PM,07:34:00 PM,1
C177,07:26:00 PM,07:34:00 PM,07:35:00 PM,1
C178,07:29:00 PM,07:35:00 PM,07:37:00 PM,1
C179,07:32:00 PM,07:37:00 PM,07:38:00 PM,1
C180,07:34:00 PM,07:38:00 PM,07:42:00 PM,1
C181,07:37:00 PM,07:42:00 PM,07:46:00 PM,1
C182,07:40:00 PM,07:46:00 PM,07:47:00 PM,1
C183,07:43:00 PM,07:47:00 PM,07:48:00 PM,1
C184,07:45:00 PM,07:48:00 PM,07:52:00 PM,1
C185,07:46:00 PM,07:52:00 PM,07:55:00 PM,1
C186,07:48:00 PM,07:55:00 PM,07:59:00 PM,1
C187,07:52:00 PM,07:59:00 PM,08:00:00 PM,1
C188,07:53:00 PM,08:00:00 PM,08:05:00 PM,1
C189,07:56:00 PM,08:05:00 PM,08:07:00 PM,1
C190,07:59:00 PM,08:07:00 PM,08:10:00 PM,1
C191,08:03:00 PM,08:10:00 PM,08:15:00 PM,1
C192,08:03:00 PM,08:15:00 PM,08:16:00 PM,1
C193,08:08:00 PM,08:16:00 PM,08:18:00 PM,1
C194,08:10:00 PM,08:18:00 PM,08:20:00 PM,1
C195,08:12:00 PM,08:20:00 PM,08:22:00 PM,1
C196,08:12:00 PM,08:22:00 PM,08:24:00 PM,1
C197,08:17:00 PM,08:24:00 PM,08:26:00 PM,1
C198,08:18:00 PM,08:26:00 PM,08:27:00 PM,1
C199,08:20:00 PM,08:27:00 PM,08:28:00 PM,1
C200,08:20:00 PM,08:28:00 PM,08:30:00 PM,1
C201,08:20:00 PM,08:30:00 PM,08:35:00 PM,1
C202,08:23:00 PM,08:35:00 PM,08:37:00 PM,1
C203,08:25:00 PM,08:37:00 PM,08:39:00 PM,1
C204,08:26:00 PM,08:39:00 PM,08:41:00 PM,1
C205,08:28:00 PM,08:41:00 PM,08:42:00 PM,1
C206,08:32:00 PM,08:42:00 PM,08:43:00 PM,1
C207,08:33:00 PM,08:43:00 PM,08:46:00 PM,1
C208,08:36:00 PM,08:46:00 PM,08:48:00 PM,1
C209,08:39:00 PM,08:48:00 PM,08:51:00 PM,1
C210,08:40:00 PM,08:51:00 PM,08:55:00 PM,1
C211,08:40:00 PM,08:55:00 PM,08:59:00 PM,1
C212,08:42:00 PM,08:59:00 PM,09:00:00 PM,1
C213,08:43:00 PM,09:00:00 PM,09:05:00 PM,1
C214,08:47:00 PM,09:05:00 PM,09:06:00 PM,1
C215,08:48:00 PM,09:06:00 PM,09:07:00 PM,1
C216,08:50:00 PM,09:07:00 PM,09:10:00 PM,1
C217,08:51:00 PM,09:10:00 PM,09:12:00 PM,1
C218,08:52:00 PM,09:12:00 PM,09:15:00 PM,1
C219,08:55:00 PM,09:15:00 PM,09:17:00 PM,1
C220,08:57:00 PM,09:17:00 PM,09:19:00 PM,1
C221,08:57:00 PM,09:19:00 PM,09:23:00 PM,1
C222,09:00:00 PM,09:23:00 PM,09:27:00 PM,1
